Product,Link,Price
"GIGABYTE A520M S2H mATX AM4 4+3 Phases Digital PWM, GIGABYTE Gaming GbE LAN, NVMe PCIe 3.0 x4 M.2, 3 Display Interfaces, Q-Flash Plus, RGB Fusion 2.0, Motherboard",https://www.newegg.com/gigabyte-a520m-s2h/p/N82E16813145240?Description=3070&cm_re=3070-_-13-145-240-_-Product,67
MSI Ventus GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 Video Card RTX 3070 Ventus 2X 8G OC LHR,https://www.newegg.com/msi-geforce-rtx-3070-rtx-3070-ventus-2x-8g-oc-lhr/p/N82E16814137671?Description=3070&cm_re=3070-_-14-137-671-_-Product,1059
ASUS TUF Gaming GeForce RTX 3070 V2 OC Edition 8GB GDDR6 PCI Express 4.0 Video Card TUF-RTX3070-O8G-V2-GAMING (LHR),https://www.newegg.com/asus-geforce-rtx-3070-tuf-rtx3070-o8g-v2-gaming/p/N82E16814126519?Description=3070&cm_re=3070-_-14-126-519-_-Product,1135
GIGABYTE AORUS GeForce RTX 3070 MASTER 8GB GDDR6 PCI Express 4.0 ATX Video Card GV-N3070AORUS M-8GD (rev. 2.0) (LHR),https://www.newegg.com/gigabyte-geforce-rtx-3070-gv-n3070aorus-m-8gd/p/N82E16814932466?Description=3070&cm_re=3070-_-14-932-466-_-Product,1212
ABS Gladiator Gaming PC - Windows 10 Home - Intel i7 11700KF - GeForce RTX 3070 - G.Skill TridentZ RGB 16 GB DDR4 3200MHz - 1TB Intel M.2 NVMe SSD,https://www.newegg.com/abs-ali576/p/N82E16883360211?Description=3070&cm_re=3070-_-83-360-211-_-Product,2299
MSI Gaming GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 Video Card 3070 GAMING Z TRIO 8G LHR,https://www.newegg.com/msi-geforce-rtx-3070-rtx-3070-gaming-z-trio-lhr/p/N82E16814137670?Description=3070&cm_re=3070-_-14-137-670-_-Product,1214
ABS Gladiator Gaming PC - Windows 10 Home - Intel i7 11700F - GeForce RTX 3070 - 16GB DDR4 3000MHz - 1TB M.2 NVMe SSD,https://www.newegg.com/abs-ali554/p/N82E16883360184?Description=3070&cm_re=3070-_-83-360-184-_-Product,1899
ABS Gladiator Gaming PC - Windows 10 Home - Intel i7 12700KF - GeForce RTX 3070 - G.Skill TridentZ RGB 16GB DDR4 3200 MHz - 1TB Intel M.2 NVMe SSD,https://www.newegg.com/abs-ali590/p/N82E16883360225?Description=3070&cm_re=3070-_-83-360-225-_-Product,2299
ABS Gladiator Gaming PC - Windows 10 Home - Ryzen 7 3700X - GeForce RTX 3070 - 16GB DDR4 3000MHz - 1TB Intel M.2 NVMe SSD,https://www.newegg.com/abs-ali463/p/N82E16883360048?Description=3070&cm_re=3070-_-83-360-048-_-Product,1899
ABS Gladiator Gaming PC - Windows 11 Pro - Intel i7 11700F - GeForce RTX 3070 - 16GB DDR4 3000MHz - 1TB M.2 NVMe SSD,https://www.newegg.com/abs-ali581/p/N82E16883360216?Description=3070&cm_re=3070-_-83-360-216-_-Product,1899
"Cobratype Cantil Gaming Desktop PC - NVIDIA RTX 3070 Ti, Ryzen 5 5600X, 16 GB DDR4, 1 TB NVMe, Windows 11 Pro, AIO Liquid Cooler",https://www.newegg.com/p/3D5-000D-00154?Item=9SIAHT3H886558&Description=3070&cm_re=3070-_-9SIAHT3H886558-_-Product&cm_sp=SP-_-574846-_-0-_-0-_-9SIAHT3H886558-_-3070-_-3070-_-11,2599
"Cobratype Boomslang Gaming Desktop PC - Intel Core i7 12700KF, NVIDIA RTX 3070 Ti, 32 GB DDR4, 1 TB NVMe, AIO Liquid Cooler, Windows 11  Pro",https://www.newegg.com/p/3D5-000D-00126?Item=9SIAHT3H879693&Description=3070&cm_re=3070-_-9SIAHT3H879693-_-Product&cm_sp=SP-_-574846-_-0-_-0-_-9SIAHT3H879693-_-3070-_-3070-_-12,3099
"Cobratype Yuxa Gaming Desktop PC - Intel Core i9 12900KF, NVIDIA RTX 3070 Ti, 64 GB DDR4, 2 TB NVMe, AIO Liquid Cooler, Windows 11 Pro",https://www.newegg.com/p/3D5-000D-00129?Item=9SIAHT3H879801&Description=3070&cm_re=3070-_-9SIAHT3H879801-_-Product&cm_sp=SP-_-574846-_-0-_-0-_-9SIAHT3H879801-_-3070-_-3070-_-13,3549
